# benders_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	4	100
3	0	0	0.0312190646448269
3	0	1	0.0356762354874056
3	0	2	0.0393363563060115
3	0	3	0.0422856990482001
3	0	4	0.0446607537283982
3	0	5	0.0466836384605084
3	0	6	0.0484992129327794
3	0	7	0.0501609142646596
3	0	8	0.051753082943258
3	0	9	0.0530754907336424
3	0	10	0.0542253545739989
3	0	11	0.0553198498237673
3	0	12	0.0563351551286681
3	0	13	0.0573691312233379
3	0	14	0.0582820690286606
3	0	15	0.0589915594787365
3	0	16	0.0596443937115402
3	0	17	0.0601864907833013
3	0	18	0.0606719316186657
3	0	19	0.0611844129336778
3	0	20	0.0617587010431018
3	0	21	0.0623432902851422
3	0	22	0.0629349615516184
3	0	23	0.0635485227143519
3	0	24	0.0640352512037502
3	0	25	0.064509747090146
3	0	26	0.0648535473679965
3	0	27	0.065184471228249
3	0	28	0.0653763298072552
3	0	29	0.0655134636302128
3	0	30	0.065615831128126
3	0	31	0.0656576794790391
3	0	32	0.0657697042902055
3	0	33	0.0658450313162674
3	0	34	0.0658392369299549
3	0	35	0.0657793615990557
3	0	36	0.065713048050823
3	0	37	0.0656370772089656
3	0	38	0.0655553119754192
3	0	39	0.0654844916995543
3	0	40	0.065375685993847
3	0	41	0.0652179499128262
3	0	42	0.0651413352442935
3	0	43	0.0650106396340647
3	0	44	0.0647704944939513
3	0	45	0.0645812111942213
3	0	46	0.0644151054431172
3	0	47	0.0641865490777068
3	0	48	0.0638453240910472
3	0	49	0.0635704126316798
3	0	50	0.0632195303232282
3	0	51	0.0627926771689393
3	0	52	0.0622834149686849
3	0	53	0.0616498953590588
3	0	54	0.060784600280508
3	0	55	0.0596366679015059
3	0	56	0.0578230248832513
3	0	57	0.0546895493519756
3	0	58	0.0491977584773212
3	0	59	0.0387588491808796
3	0	60	0.016136920671454
3	0	61	-0.0320659347506416
3	0	62	-0.0992769496806397
3	0	63	-0.140366227521001
3	0	64	-0.138879001826995
3	0	65	-0.11094555527977
3	0	66	-0.0761747329896826
3	0	67	-0.0490582940459346
