# benders_position_y_set	index0_set	index1_set	daq_ai_voltage
# "y position"	"index0"	"index1"	"Voltage"
# 100	4	100
-3.17	0	0	0.050094601737107
-3.17	0	1	0.0496091609300174
-3.17	0	2	0.0491365965337471
-3.17	0	3	0.0486453613268669
-3.17	0	4	0.0481734407358042
-3.17	0	5	0.0477942303313611
-3.17	0	6	0.047446567138081
-3.17	0	7	0.0471459028560565
-3.17	0	8	0.0469012509765455
-3.17	0	9	0.0467048856595305
-3.17	0	10	0.0465999428818344
-3.17	0	11	0.0465716147667508
-3.17	0	12	0.0465819159009452
-3.17	0	13	0.0466076687341688
-3.17	0	14	0.0467576789668546
-3.17	0	15	0.0469694959896925
-3.17	0	16	0.0472997760315521
-3.17	0	17	0.0476055908828385
-3.17	0	18	0.0479790069099165
-3.17	0	19	0.0484219555791311
-3.17	0	20	0.0488694109910128
-3.17	0	21	0.0493934810746281
-3.17	0	22	0.0501100535621625
-3.17	0	23	0.0508066676089869
-3.17	0	24	0.0514234478800757
-3.17	0	25	0.0520614742328286
-3.17	0	26	0.052696925305174
-3.17	0	27	0.0532905280247171
-3.17	0	28	0.0540154701770062
-3.17	0	29	0.0547983561958944
-3.17	0	30	0.0555065590116638
-3.17	0	31	0.056075696548783
-3.17	0	32	0.0567645847412449
-3.17	0	33	0.0572815727941591
-3.17	0	34	0.057813368725562
-3.17	0	35	0.0583689860280337
-3.17	0	36	0.0589188089407593
-3.17	0	37	0.0593714149203219
-3.17	0	38	0.0597628579303126
-3.17	0	39	0.0601510818329536
-3.17	0	40	0.0604742798473899
-3.17	0	41	0.0607974778522294
-3.17	0	42	0.0611284017058183
-3.17	0	43	0.0614161895687032
-3.17	0	44	0.0616930324802704
-3.17	0	45	0.0619074247874567
-3.17	0	46	0.0620606541202904
-3.17	0	47	0.0622377048163255
-3.17	0	48	0.0624327824878021
-3.17	0	49	0.0626491062498206
-3.17	0	50	0.0627946097299822
-3.17	0	51	0.0629207985921076
-3.17	0	52	0.0629735918938046
-3.17	0	53	0.0630701650080396
-3.17	0	54	0.0631409852890748
-3.17	0	55	0.0632343393039649
-3.17	0	56	0.0632819820389846
-3.17	0	57	0.0632832696808204
-3.17	0	58	0.0632967899180359
-3.17	0	59	0.0632736123709279
-3.17	0	60	0.063167381941795
-3.17	0	61	0.0631049313256636
-3.17	0	62	0.0630411930676966
-3.17	0	63	0.0629703727849866
-3.17	0	64	0.0628094175937423
-3.17	0	65	0.062696105141907
-3.17	0	66	0.0624952330696974
-3.17	0	67	0.0622956486374083
-3.17	0	68	0.0620509967504682
-3.17	0	69	0.0617677156217647
-3.17	0	70	0.0615018176524233
-3.17	0	71	0.06128485006102
-3.17	0	72	0.0608554216269463
-3.17	0	73	0.0605244977697898
-3.17	0	74	0.060165245792742
-3.17	0	75	0.0598723073490325
-3.17	0	76	0.0594602620678396
-3.17	0	77	0.059039847116001
-3.17	0	78	0.0585962546233114
-3.17	0	79	0.0581249778411343
-3.17	0	80	0.0575983324750716
-3.17	0	81	0.0571888624859157
-3.17	0	82	0.056752995840609
-3.17	0	83	0.0561838583050958
-3.17	0	84	0.0556333915729708
-3.17	0	85	0.0551357181505161
-3.17	0	86	0.0545665806253938
-3.17	0	87	0.0540405790917937
